Calibration Phase: 100% Pure NIST Elements
Photons Fired per run: 10000000 | Total Runs: 60
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
-------------------------------------------------------------------------------------------------------------------
59.5            | G4_Pb           | 2               | 10000000   | 88         | 8.800e-06      | 0.00000094
59.5            | G4_Pb           | 4               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_Pb           | 6               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_Pb           | 8               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_Pb           | 10              | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_W            | 2               | 10000000   | 8          | 8.000e-07      | 0.00000028
59.5            | G4_W            | 4               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_W            | 6               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_W            | 8               | 10000000   | 0          | 0.0             | 0.00000000
59.5            | G4_W            | 10              | 10000000   | 0          | 0.0             | 0.00000000
356             | G4_Pb           | 2               | 10000000   | 5213853    | 0.521385        | 0.00022834
356             | G4_Pb           | 4               | 10000000   | 2717468    | 0.271747        | 0.00016485
356             | G4_Pb           | 6               | 10000000   | 1417567    | 0.141757        | 0.00011906
356             | G4_Pb           | 8               | 10000000   | 738708     | 0.0738708       | 0.00008595
356             | G4_Pb           | 10              | 10000000   | 384736     | 0.0384736       | 0.00006203
356             | G4_W            | 2               | 10000000   | 4041821    | 0.404182        | 0.00020104
356             | G4_W            | 4               | 10000000   | 1634104    | 0.16341         | 0.00012783
356             | G4_W            | 6               | 10000000   | 660819     | 0.0660819       | 0.00008129
356             | G4_W            | 8               | 10000000   | 266654     | 0.0266654       | 0.00005164
356             | G4_W            | 10              | 10000000   | 107907     | 0.0107907       | 0.00003285
511             | G4_Pb           | 2               | 10000000   | 7023219    | 0.702322        | 0.00026501
511             | G4_Pb           | 4               | 10000000   | 4933677    | 0.493368        | 0.00022212
511             | G4_Pb           | 6               | 10000000   | 3464801    | 0.34648         | 0.00018614
511             | G4_Pb           | 8               | 10000000   | 2434205    | 0.243421        | 0.00015602
511             | G4_Pb           | 10              | 10000000   | 1710087    | 0.171009        | 0.00013077
511             | G4_W            | 2               | 10000000   | 5970409    | 0.597041        | 0.00024434
511             | G4_W            | 4               | 10000000   | 3565331    | 0.356533        | 0.00018882
511             | G4_W            | 6               | 10000000   | 2129296    | 0.21293         | 0.00014592
511             | G4_W            | 8               | 10000000   | 1270950    | 0.127095        | 0.00011274
511             | G4_W            | 10              | 10000000   | 759000     | 0.0759          | 0.00008712
662             | G4_Pb           | 2               | 10000000   | 7794069    | 0.779407        | 0.00027918
662             | G4_Pb           | 4               | 10000000   | 6076353    | 0.607635        | 0.00024650
662             | G4_Pb           | 6               | 10000000   | 4737093    | 0.473709        | 0.00021765
662             | G4_Pb           | 8               | 10000000   | 3693133    | 0.369313        | 0.00019218
662             | G4_Pb           | 10              | 10000000   | 2878767    | 0.287877        | 0.00016967
662             | G4_W            | 2               | 10000000   | 6862704    | 0.68627         | 0.00026197
662             | G4_W            | 4               | 10000000   | 4710059    | 0.471006        | 0.00021703
662             | G4_W            | 6               | 10000000   | 3232798    | 0.32328         | 0.00017980
662             | G4_W            | 8               | 10000000   | 2216870    | 0.221687        | 0.00014889
662             | G4_W            | 10              | 10000000   | 1521072    | 0.152107        | 0.00012333
1173            | G4_Pb           | 2               | 10000000   | 8697889    | 0.869789        | 0.00029492
1173            | G4_Pb           | 4               | 10000000   | 7565186    | 0.756519        | 0.00027505
1173            | G4_Pb           | 6               | 10000000   | 6580835    | 0.658084        | 0.00025653
1173            | G4_Pb           | 8               | 10000000   | 5723625    | 0.572362        | 0.00023924
1173            | G4_Pb           | 10              | 10000000   | 4979405    | 0.497941        | 0.00022315
1173            | G4_W            | 2               | 10000000   | 7990984    | 0.799098        | 0.00028268
1173            | G4_W            | 4               | 10000000   | 6385618    | 0.638562        | 0.00025270
1173            | G4_W            | 6               | 10000000   | 5104657    | 0.510466        | 0.00022593
1173            | G4_W            | 8               | 10000000   | 4077130    | 0.407713        | 0.00020192
1173            | G4_W            | 10              | 10000000   | 3257632    | 0.325763        | 0.00018049
1332            | G4_Pb           | 2               | 10000000   | 8807635    | 0.880764        | 0.00029678
1332            | G4_Pb           | 4               | 10000000   | 7758291    | 0.775829        | 0.00027854
1332            | G4_Pb           | 6               | 10000000   | 6833472    | 0.683347        | 0.00026141
1332            | G4_Pb           | 8               | 10000000   | 6018855    | 0.601885        | 0.00024533
1332            | G4_Pb           | 10              | 10000000   | 5302797    | 0.53028         | 0.00023028
1332            | G4_W            | 2               | 10000000   | 8139342    | 0.813934        | 0.00028530
1332            | G4_W            | 4               | 10000000   | 6626222    | 0.662622        | 0.00025741
1332            | G4_W            | 6               | 10000000   | 5394369    | 0.539437        | 0.00023226
1332            | G4_W            | 8               | 10000000   | 4390851    | 0.439085        | 0.00020954
1332            | G4_W            | 10              | 10000000   | 3573101    | 0.35731         | 0.00018903
