Phase 1: Comprehensive Shielding Master Data
Photons Fired per run: 10000000 | Total Runs: 930
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
-------------------------------------------------------------------------------------------------------------------
59.5            | PPS_0Wt         | 2               | 10000000   | 9346893    | 0.934689        | 0.00030573
59.5            | PPS_0Wt         | 4               | 10000000   | 8735537    | 0.873554        | 0.00029556
59.5            | PPS_0Wt         | 6               | 10000000   | 8165930    | 0.816593        | 0.00028576
59.5            | PPS_0Wt         | 8               | 10000000   | 7632864    | 0.763286        | 0.00027628
59.5            | PPS_0Wt         | 10              | 10000000   | 7135259    | 0.713526        | 0.00026712
59.5            | Pb_5Wt          | 2               | 10000000   | 8701393    | 0.870139        | 0.00029498
59.5            | Pb_5Wt          | 4               | 10000000   | 7572169    | 0.757217        | 0.00027518
59.5            | Pb_5Wt          | 6               | 10000000   | 6590625    | 0.659062        | 0.00025672
59.5            | Pb_5Wt          | 8               | 10000000   | 5736925    | 0.573693        | 0.00023952
59.5            | Pb_5Wt          | 10              | 10000000   | 4992104    | 0.49921         | 0.00022343
59.5            | Pb_10Wt         | 2               | 10000000   | 8045938    | 0.804594        | 0.00028365
59.5            | Pb_10Wt         | 4               | 10000000   | 6475190    | 0.647519        | 0.00025446
59.5            | Pb_10Wt         | 6               | 10000000   | 5212436    | 0.521244        | 0.00022831
59.5            | Pb_10Wt         | 8               | 10000000   | 4194778    | 0.419478        | 0.00020481
59.5            | Pb_10Wt         | 10              | 10000000   | 3375965    | 0.337597        | 0.00018374
59.5            | Pb_15Wt         | 2               | 10000000   | 7381099    | 0.73811         | 0.00027168
59.5            | Pb_15Wt         | 4               | 10000000   | 5449500    | 0.54495         | 0.00023344
59.5            | Pb_15Wt         | 6               | 10000000   | 4023219    | 0.402322        | 0.00020058
59.5            | Pb_15Wt         | 8               | 10000000   | 2970117    | 0.297012        | 0.00017234
59.5            | Pb_15Wt         | 10              | 10000000   | 2192839    | 0.219284        | 0.00014808
59.5            | Pb_20Wt         | 2               | 10000000   | 6709185    | 0.670918        | 0.00025902
59.5            | Pb_20Wt         | 4               | 10000000   | 4502122    | 0.450212        | 0.00021218
59.5            | Pb_20Wt         | 6               | 10000000   | 3021511    | 0.302151        | 0.00017382
59.5            | Pb_20Wt         | 8               | 10000000   | 2027069    | 0.202707        | 0.00014238
59.5            | Pb_20Wt         | 10              | 10000000   | 1360114    | 0.136011        | 0.00011662
59.5            | Pb_25Wt         | 2               | 10000000   | 6033090    | 0.603309        | 0.00024562
59.5            | Pb_25Wt         | 4               | 10000000   | 3639369    | 0.363937        | 0.00019077
59.5            | Pb_25Wt         | 6               | 10000000   | 2197004    | 0.2197          | 0.00014822
59.5            | Pb_25Wt         | 8               | 10000000   | 1325068    | 0.132507        | 0.00011511
59.5            | Pb_25Wt         | 10              | 10000000   | 799096     | 0.0799096       | 0.00008939
59.5            | Pb_30Wt         | 2               | 10000000   | 5357004    | 0.5357          | 0.00023145
59.5            | Pb_30Wt         | 4               | 10000000   | 2869099    | 0.28691         | 0.00016938
59.5            | Pb_30Wt         | 6               | 10000000   | 1537103    | 0.15371         | 0.00012398
59.5            | Pb_30Wt         | 8               | 10000000   | 822777     | 0.0822777       | 0.00009071
59.5            | Pb_30Wt         | 10              | 10000000   | 441294     | 0.0441294       | 0.00006643
59.5            | BaSO4_5Wt       | 2               | 10000000   | 8694558    | 0.869456        | 0.00029487
59.5            | BaSO4_5Wt       | 4               | 10000000   | 7559707    | 0.755971        | 0.00027495
59.5            | BaSO4_5Wt       | 6               | 10000000   | 6574797    | 0.65748         | 0.00025641
59.5            | BaSO4_5Wt       | 8               | 10000000   | 5717708    | 0.571771        | 0.00023912
59.5            | BaSO4_5Wt       | 10              | 10000000   | 4972277    | 0.497228        | 0.00022299
59.5            | BaSO4_10Wt      | 2               | 10000000   | 8044122    | 0.804412        | 0.00028362
59.5            | BaSO4_10Wt      | 4               | 10000000   | 6472313    | 0.647231        | 0.00025441
59.5            | BaSO4_10Wt      | 6               | 10000000   | 5208485    | 0.520849        | 0.00022822
59.5            | BaSO4_10Wt      | 8               | 10000000   | 4191552    | 0.419155        | 0.00020473
