Phase 2: ShieldingExactTwin — NaI(Tl) Photopeak Master Dataset
Total runs: 996  |  Histories/run: 10,000,000  |  Materials: 33
Peak integration: ±2.0σ  |  NaI resolution: FWHM = 2.06×√E_keV keV
RelErr = 1/√N (relative Poisson uncertainty)
============================================================================================================================================
Energy(keV)     | Material               | Thickness(mm)  | I0           | I            | I/I0          | RelErr(I0)     | RelErr(I)     
--------------------------------------------------------------------------------------------------------------------------------------------
59.5            | PPS_0Wt                | 2              | 8271445      | 7735169      | 0.935165      | 0.00034770     | 0.00035955    
59.5            | PPS_0Wt                | 4              | 8271445      | 7234305      | 0.874612      | 0.00034770     | 0.00037179    
59.5            | PPS_0Wt                | 6              | 8271445      | 6766943      | 0.818109      | 0.00034770     | 0.00038442    
59.5            | PPS_0Wt                | 8              | 8271445      | 6329403      | 0.765211      | 0.00034770     | 0.00039748    
59.5            | PPS_0Wt                | 10             | 8271445      | 5920153      | 0.715734      | 0.00034770     | 0.00041099    
59.5            | G4_Pb                  | 2              | 8271445      | 75           | 0.000009      | 0.00034770     | 0.11547005    
59.5            | G4_Pb                  | 4              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_Pb                  | 6              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_Pb                  | 8              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_Pb                  | 10             | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_W                   | 2              | 8271445      | 7            | 0.000001      | 0.00034770     | 0.37796447    
59.5            | G4_W                   | 4              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_W                   | 6              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_W                   | 8              | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | G4_W                   | 10             | 8271445      | 0            | 0.000000      | 0.00034770     | 0.00000000    
59.5            | Ti3C2O2_5Wt            | 2              | 8271445      | 7676552      | 0.928079      | 0.00034770     | 0.00036092    
59.5            | Ti3C2O2_5Wt            | 4              | 8271445      | 7124823      | 0.861376      | 0.00034770     | 0.00037464    
59.5            | Ti3C2O2_5Wt            | 6              | 8271445      | 6614702      | 0.799703      | 0.00034770     | 0.00038882    
59.5            | Ti3C2O2_5Wt            | 8              | 8271445      | 6140817      | 0.742412      | 0.00034770     | 0.00040354    
59.5            | Ti3C2O2_5Wt            | 10             | 8271445      | 5699974      | 0.689115      | 0.00034770     | 0.00041885    
59.5            | Ti3C2O2_10Wt           | 2              | 8271445      | 7614246      | 0.920546      | 0.00034770     | 0.00036240    
59.5            | Ti3C2O2_10Wt           | 4              | 8271445      | 7009543      | 0.847439      | 0.00034770     | 0.00037771    
59.5            | Ti3C2O2_10Wt           | 6              | 8271445      | 6454543      | 0.780340      | 0.00034770     | 0.00039361    
59.5            | Ti3C2O2_10Wt           | 8              | 8271445      | 5942819      | 0.718474      | 0.00034770     | 0.00041021    
59.5            | Ti3C2O2_10Wt           | 10             | 8271445      | 5470328      | 0.661351      | 0.00034770     | 0.00042756    
59.5            | Ti3C2O2_15Wt           | 2              | 8271445      | 7546114      | 0.912309      | 0.00034770     | 0.00036403    
59.5            | Ti3C2O2_15Wt           | 4              | 8271445      | 6886049      | 0.832509      | 0.00034770     | 0.00038108    
59.5            | Ti3C2O2_15Wt           | 6              | 8271445      | 6284711      | 0.759808      | 0.00034770     | 0.00039889    
